id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href
1672,Xe Kymco,4.000.000 đ,3.68 tr,4.32 tr,"Phường 14, Quận 11, Tp Hồ Chí Minh","Giá 4tr có giảm giá,trả bao nhiêu tùy thích, alo liên hệ số đt:***",Kymco,Dòng khác,2004,189,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/124281180.htm
1673,Xe Kymco,4.000.000 đ,3.68 tr,4.32 tr,"Phường 14, Quận 11, Tp Hồ Chí Minh","Xe Kymco giá 4tr có thể trả giá bao nhiêu cũng bán, liên hệ số điện thoại:***",Kymco,Dòng khác,2004,189,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/124281716.htm
1674,"Vario 150 Indo, Đỏ Đen, siêu kiểng",65.500.000 đ,41.35 tr,48.54 tr,"Phường 5, Quận 11, Tp Hồ Chí Minh","- Xe máy cực êm, ít dùng, bao zin, bao thợ test
- Đã dọn kiểng như hình
- Smart key, cặp vỏ mới, lên mâm, lên pô
- Chính chủ, công chứng mua bán
- Biển số Tp, Q11
- Anh em thiện chí, còn thương lượng
- Cò lái miễn tiếp",Honda,Vario,2018,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/121540267.htm
1675,Ducati Hypermotard 939,270.000.000 đ,,,"Phường 11, Quận 11, Tp Hồ Chí Minh","Cần bán

Ducati Hypermotard 939 siêu lướt
Xe cực keng.
Số km đi cực ít (1,867km)
Xe zin, bao test hãng

Xe đã được trang bị chống đổ Evotech & mão cacbon

Ace quan tâm liên hệ",Ducati,Hypermotard,2017,1867,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/124247729.htm
1676,Xe ken như mới odo13k,28.000.000 đ,23.11 tr,27.13 tr,"Phường 3, Quận 11, Tp Hồ Chí Minh",Xe đk cuối năm 2020 odo đúng chuẩn 13k xe lên sẳn khoá SMARKEY.bs tp chinh chu,Honda,Sonic,2020,13000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/124244187.htm
1677,bán xe sh300i,128.000.000 đ,55.2 tr,64.8 tr,"Phường 9, Quận 11, Tp Hồ Chí Minh","máy móc nguyên zin, chạy ngon không hú hí, anh em có nhu cầu vui lòng alo mình",Honda,SH,2017,43000,Đã sử dụng,Tay ga,Trên 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/124211731.htm
1678,152 lac long quan,4.800.000 đ,4.18 tr,4.91 tr,"Phường 3, Quận 11, Tp Hồ Chí Minh","Cần bán NOUVO 4 giá yêu thương 4tr800 ace cần ib mình nha . Điện đề đầy đủ , bao tranh chấp",Yamaha,Nouvo,2011,45000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123960795.htm
1679,Cần bán,8.500.000 đ,7.27 tr,8.54 tr,"Phường 3, Quận 11, Tp Hồ Chí Minh","Wave a xương cá 2007 biển số dễ nhìn , máy 54zl xe nái vợ đẻ cần bán hình sao xe vậy . Giá em để 8.5 gtdđ bao tranh chấp",Honda,Wave,2007,0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/124134721.htm
1680,Cần bán xe lead hcm,30.000.000 đ,27.45 tr,32.22 tr,"Phường 7, Quận 11, Tp Hồ Chí Minh","Lead màu trắng 2 van premium smartkey đèn led đi 27k km, xe chính chủ. Sx 2020 dk 2023",Honda,Lead,2020,27000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/124092609.htm
1681,Dylan số đẹp 6666,50.000.000 đ,12.42 tr,14.58 tr,"Phường 10, Quận 11, Tp Hồ Chí Minh","💥Dylan150 

💥BSTP vip 6666

💥 Xe Quận 11 , SG
 
👌Máy móc êm ái , nhẹ nhàng 

🎀 Xe chưa đứng UQ lần nào , chính chủ 😄

💲Chỉ 👉 5️⃣0️⃣ tr ( có fix cho ae thiện chí ) 

📞 Liên hệ : *** để trò chuyện 💵",Honda,Dylan,2008,20000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/124028464.htm
1682,Cần bán xe máy như hinh,53.000.000 đ,52.54 tr,61.68 tr,"Phường 5, Quận 11, Tp Hồ Chí Minh",Bán xe máy chính chủ xe zin zin 53 trieu,Honda,SH Mode,2023,99999,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/124000742.htm
1683,xe zin bstp 9 chủ sang tên uỷ quyền,20.500.000 đ,14.62 tr,17.16 tr,"Phường 14, Quận 11, Tp Hồ Chí Minh","Xe nhà ít chạy
Trùm mền 
Máy móc zin chưa đụng chạm
Xe đẹp bao êm zin",Yamaha,Exciter,2016,45000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123964985.htm
1684,Bán xe SH Mode 13.000km năm 2021,53.000.000 đ,47.9 tr,56.24 tr,"Phường 2, Quận 11, Tp Hồ Chí Minh","Cần ra đi em SH Mode 
13.000km
Năm 2021
Quận 11",Honda,SH Mode,2021,13000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123949032.htm
1685,"Bán xe lead honda fi 110, năm đăng ký 2010,",8.500.000 đ,6.68 tr,7.84 tr,"Phường 1, Quận 11, Tp Hồ Chí Minh","Xe nhà dư sử dụng lead honda 110 fi, màu nâu. Xe bao êm, tk xăng, Chính chủ , xe nhà dư dùng, khách thiện chí xem xe tại nhà q11. Tphcm.",Honda,Lead,2010,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123895458.htm
1686,Xe SPACY Nhật 2007 chính chủ,100.000.000 đ,21.52 tr,25.27 tr,"Phường 11, Quận 11, Tp Hồ Chí Minh","Xe đẹp. Mình xuất ngoại cần bán 
Có thể qua tận nhà xem xe. Chính chủ
***",Honda,Spacy,2007,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123892039.htm
1687,Đối xe pkl nhượng lại,6.000.000 đ,5.52 tr,6.48 tr,"Phường 3, Quận 11, Tp Hồ Chí Minh","Bán xe 50cc cho học sinh sinh viên không cần gplx biển số tỉnh 37 nghệ an quê bác giấy tờ đầy đủ bao tranh chấp,xe rất êm tiết kiệm xăng",Sanda,Dòng khác,2019,6300,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123892010.htm
1688,Xe Ab Thái bstp 9c,16.500.000 đ,7.62 tr,8.94 tr,"Phường 2, Quận 11, Tp Hồ Chí Minh","Xe máy móc nguyên zin 
Áo tàn theo năm tháng 
Không bể + đèn đẹp 
Dàn chân sạch sẽ",Honda,Air Blade,2008,500000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123882155.htm
1689,Ban xe Demon X125,19.000.000 đ,17.48 tr,20.52 tr,"Phường 3, Quận 11, Tp Hồ Chí Minh","Bán xe DemonX 125 xe số tư động ít đi, máy êm chưa mở. Xe chính chủ ủy quyền, sang tên ok",GPX,Demon X 125cc,2020,15900,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123877375.htm
1690,SHVN 150 ABS 217,67.000.000 đ,55.2 tr,64.8 tr,"Phường 15, Quận 11, Tp Hồ Chí Minh","CẦN RA ĐI SH 150 ABS 217
Tình trạng như hình
Máy móc nguyên zin
Xe nhà chạy, chính chủ kí
Fix ae nhanh gọn",Honda,SH,2017,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123851786.htm
1691,Cần bán xe mới mua đc 1 tháng,19.000.000 đ,12.85 tr,15.09 tr,"Phường 11, Quận 11, Tp Hồ Chí Minh","Xe chính chủ
Mới mua 1 tháng 
Kg chạy nữa bán",Honda,Wave,2025,2,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123845980.htm
1692,Có em bé bỏ cuộc chơi ra đi R3 tâm huyết ít chạy,89.000.000 đ,31.06 tr,36.46 tr,"Phường 6, Quận 11, Tp Hồ Chí Minh","Có em bé nên ít chạy đựng ở nhà hoài tội nghiệp nhượng lại giá tốt cho anh em đam mê mới chơi xe lên rất nhìu đồ chơi full bodykit R1, mâm 5 inch vỏ size lớn, pô aka và đắt tiền là hệ thống Abs còn mấy món linh tinh nữa xe tâm huyết để lại cho người đam mê ko bán lái.
Cảm ơn đã xem tin!!",Yamaha,R,2019,3000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123830009.htm
1693,Airblade 2007 chính chủ bstp máy êm,10.000.000 đ,6.91 tr,8.11 tr,"Phường 5, Quận 11, Tp Hồ Chí Minh","Cà vẹt chính chủ
Bao êm, k hú
Đã lên 2 lốp k săm",Honda,Air Blade,2007,70000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123474250.htm
1694,"Wave BLADE Bstp chíh chủ.Sporty,máy,ZIN chưa rớt",14.900.000 đ,14.1 tr,16.55 tr,"Phường 10, Quận 11, Tp Hồ Chí Minh","đổi xe tay gaz , cần bán xe chính chủ 1 đời chủ *** ,BSTP, máy móc zin nguyên thủy , đầu nòi chưa rớt . odo 11000km . công chứng sang tên liền . mọi chức năng hoạt động rất tốt . máy móc bao thợ xịn soi thoải mái . bao check 39 kiểu",Honda,Wave,2022,10999,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/122986929.htm
1695,Chính chủ Bán xe Honda Spacy 125 máy Zin,45.000.000 đ,24.84 tr,29.16 tr,"Phường 5, Quận 11, Tp Hồ Chí Minh",Chính chủ bán xe Honda Spacy 125 đời 2004 màu Trắng lên 2009 máy Zin bao thợ Kiểm tra.,Honda,Spacy,2004,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123125221.htm
1696,Cần bán Honda s90 hàng siêu tầm,27.999.999 đ,17.59 tr,20.65 tr,"Phường 15, Quận 11, Tp Hồ Chí Minh","Cần bán honda S90 
Biển số Sài Gòn chính chủ 
Xe đang sử dụng Bth 
Thích hợp bạn nào thích độc lạ siêu tầm",Honda,Dòng khác,1997,99999,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123724340.htm
1697,HONDA VISION màu xanh chìa khóa thông minh,20.800.000 đ,18.47 tr,21.68 tr,"Phường 15, Quận 11, Tp Hồ Chí Minh",Cần bán xe honda vision đời 2018 mâu 2019. Màu xanh bạc cam. Xe sơn xi sạch sẽ. Máy im. Biển số 66 Chính chủ ký giấ bán. Giá thương lượng,Honda,Vision,2018,12345,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123387964.htm
1698,yamaha FZ đep,16.500.000 đ,23.78 tr,27.91 tr,"Phường 15, Quận 11, Tp Hồ Chí Minh","Xe nhà cần ban , mọi thứ ok het , xe zin toàn bộ , lanh chi co nhu cầu liên hệ gặp Thảo ,giấy tờ chuẩn",Yamaha,Dòng khác,2017,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123222377.htm
1699,SH350i máy Thái - Xám xi măng - Đky 2022 - Odo3500,117.000.000 đ,74.57 tr,87.54 tr,"Phường 16, Quận 11, Tp Hồ Chí Minh","Chia tay đam mê !!!🤭 Chính chủ đky lần đầu 2022
Ra đi #SH350i máy nhập thái - odo mới 3k5
- Xám xi măng hot trend , xe dán full keo 
- Còn đủ 2 chìa
- Phuộc Oh 430 lỗi nhẹ xíu ( + lúa )
Chỉ : 11x.xxx ( nhanh gọn fix lẹ )
Xem xe tại Q11 , ☺️☺️☺️ thanks ae xem",Honda,SH,2022,3500,Đã sử dụng,Tay ga,Trên 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123790102.htm
1700,BÁN XE.,26.000.000 đ,23.96 tr,28.12 tr,"Phường 15, Quận 11, Tp Hồ Chí Minh","BÁN XE LEAD. ĐÃ QUA SỬ DỤNG. 
KÝ SANG TÊN HOẶC UỶ QUYỀN ĐỀU ĐƯỢC
ANH CHỊ MUA VỀ SỬ DỤNG CỨ GỌI TRỰC TIẾP EM",Honda,Lead,2019,46000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123788754.htm
1701,AirBlade 150_Abs. Biển TPHCM Chính Chủ,40.800.000 đ,34.12 tr,40.05 tr,"Phường 3, Quận 11, Tp Hồ Chí Minh","❤️❤️Ab_150_ABS❤️ Xanh nhám bản đặc biệt, Khoá SMK. Mẫu 2022
_Biển Sài gòn 𝑐ℎ𝑖́𝑛ℎ 𝑐ℎ𝑢̉, SmarKey thông minh 
_Cam kết 𝐌𝐚́𝐲 𝐦𝐨́𝐜 𝐧𝐠𝐮𝐲𝐞̂𝐧 𝐳𝐢𝐧 100%,đầu chưa mở

_Máy cực kì êm, mọi chức năng đều hoạt động tốt
_Ngoại hình cực kì đẹp, áo mới lột keo không trầy

_ Xe 1 đời chủ, kí giấy mua bán tại phòng công chứng
_ Sang tên rút hs gốc liền trong ngày

_ Giá #40tr800 (fix cf xăng cộ thương lượng trực tiếp)
_Xem xe tại nhà, Đầm sen q11
☎️ ( #Gọi Trực tiếp, hoặc nhắn ZL giúp e)",Honda,Air Blade,2022,8100,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123633698.htm
1702,Shi 150 nhập ý 2011 zin,168.500.000 đ,111.87 tr,131.33 tr,"Phường 1, Quận 11, Tp Hồ Chí Minh","-Cần bán chiếc shi 150 nhập ý 2011 ( sm 106 1 đời chủ ,xe mới tháo keo nước sơn zin chưa qua dặm tút )
-Máy móc nguyên zin ( nắp chao chưa mở , nồi zin theo xe )
-Xe bảo quản kỉ người lớn tuổi sử dụng , bao thầy thợ kiểm tra đủ kiểu , mua về sử dụng ko tốn thêm xu nào , tiền nào của đó nha ae …
-Xe ngay chủ bán mua bán ra công chứng liền , xem xe tại nhà ko mua bán ngoài đường .
Fix ae nào mau lẹ",Honda,SH,2011,16000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123774580.htm
1703,cần bán sh125 cbs chính chủ . BS.86B1 70750,66.800.000 đ,73.25 tr,85.99 tr,"Phường 7, Quận 11, Tp Hồ Chí Minh",Mua oto nên ít sd cần bán sh125 ĐK 06/2023 biển số 86 bình thuận. mới đi 4700km như mới xe ốc bánh chưa tháo chưa vá lần nào. Xe đã dán keo 3 lớp full xe. Chưa đụng chạm tới con ốc nào hết ngoài ốc thay nhớt còn đủ 2 remot 2 kính zin theo xe full bill bão dưỡng hãng.,Honda,SH,2023,4700,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123716969.htm
1704,Winner V1 2018,16.000.000 đ,14.57 tr,17.1 tr,"Phường 5, Quận 11, Tp Hồ Chí Minh",Winner v1 2018 gtdd 09c biển số 72. Tình trạng xe máy zin dọn kiểng nhẹ dàn áo liền lạc dàn chân cứng máy bao êm. Fix mạnh cho anh em nhanh gọn ít nói,Honda,Winner,2018,60000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123760140.htm
1705,Em bán vario 2017 125i xe zin bstp 9 chủ,49.000.000 đ,36.19 tr,42.49 tr,"Phường 10, Quận 11, Tp Hồ Chí Minh","Em bán vario 2017 sơn new 125i lên it đồ chơi smarkey sẵn , bstp 9c ký nhanh lẹ , máy móc bao êm",Honda,Vario,2024,35000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123749419.htm
1706,suzuki big boy 250,75.000.000 đ,8.02 tr,9.42 tr,"Phường 15, Quận 11, Tp Hồ Chí Minh","Em nó là BigBoy 250, giấy tờ công chứng thoải mái vì lên từ GN250 HQCN biển số SG. 
XE VÔ 1 số đồ chơi như hình, tặng luôn cổ pô Inox made in japan. Cổ pô đang gắn là titan. 
Xe vận hành hoàn hảo ko lỗi. 
Giá nhượng lại đam mê: 75tr.",Suzuki,Dòng khác,2010,50000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123746341.htm
1707,"Xe XSR 155 bản đen nhám,mới như trong hãng dắt ra",70.000.000 đ,63.41 tr,74.44 tr,"Phường 9, Quận 11, Tp Hồ Chí Minh","Xe nhập Indonesia,màu đen nhám, mình chạy rất ít, odo mới 1600, xe chính chủ. Bạn nào cần liên hệ mình ạ",Yamaha,XSR,2024,1600,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123745261.htm
1708,Lead,18.000.000 đ,15.31 tr,17.97 tr,"Phường 8, Quận 11, Tp Hồ Chí Minh","Lead 2014. Xe 1 chủ. 
Máy móc còn nguyên. ODO hơn 60.000
BS tp.HCM. sang tên công chứng nhanh gọn",Honda,Lead,2014,60000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123663456.htm
1709,Xe nhập nguyên chiếc,13.500.000 đ,23.78 tr,27.91 tr,"Phường 3, Quận 11, Tp Hồ Chí Minh","Xe Yamaha soul mua cửa hàng chỉ có cavet xe và giấy mua bán của cửa hàng 
Xe đang cầm nên mới bán nhanh giá 13tr5
Ai mua liên hệ zalo
Xe có fi nha mọi người",Yamaha,Dòng khác,2017,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123510431.htm
1710,Ex 150 mẫu Led,8.500.000 đ,17.09 tr,20.06 tr,"Phường 2, Quận 11, Tp Hồ Chí Minh",Ex 150 mẫu lèd odo 11ngàn km xe liền lạc cho ae dề đi làm hoặc đi chơi ae cần biết chi tiết thì alo trực tiếp ạ,Yamaha,Exciter,2018,11000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123730112.htm
1711,AirBlade 125 đen nhám. Biển TpHCM chính chủ,23.888.888 đ,22.35 tr,26.24 tr,"Phường 3, Quận 11, Tp Hồ Chí Minh","❤️❤️Ab_125❤️ Đen nhám bản đặc biệt
_Biển Sài gòn 𝑐ℎ𝑖́𝑛ℎ 𝑐ℎ𝑢̉,
_Cam kết 𝐌𝐚́𝐲 𝐦𝐨́𝐜 𝐧𝐠𝐮𝐲𝐞̂𝐧 𝐳𝐢𝐧 100%,đầu chưa mở
_Máy cực kì êm, mọi chức năng đều hoạt động tốt
_Ngoại hình cực kì đẹp, áo mới lột keo không trầy
_ Xe 1 đời chủ, kí giấy, uỷ quyền, mua bán tại phòng công chứng
_ Sang tên rút hs gốc liền trong ngày.
_ Giá #23tr800 (fix cf xăng cộ thương lượng trực tiếp)
_Xem xe tại nhà, Đầm sen q11
☎️ ( Gọi Trực tiếp giúp e)",Honda,Air Blade,2018,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123727126.htm
1712,wave s110,13.800.000 đ,7.65 tr,8.98 tr,"Phường 3, Quận 11, Tp Hồ Chí Minh","Wave s110 bstp 9 chủ 
Máy móc 54 dên zin êm ru có tốc độ
Dàn áo + dàn chân sơn mới
căm nova full ốc salaya chân chống 304
Full đĩa wave s110 thay hãng 
Điện đèn đề đầy đủ chức năng 
Giá 13tr800 fix nhẹ 
Xem xe trực tiếp 
Tô Hiệu quận tân phú",Honda,Wave,2013,405000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123722398.htm
1713,bán wave 110 xanh trắng,6.500.000 đ,7.94 tr,9.32 tr,"Phường 11, Quận 11, Tp Hồ Chí Minh","Cần bán chiếc wave 110
Xe bị kêu sên cam
Vê canh chỉnh lại là êm ru
Xe biển số tỉnh 78. Bao tranh chấp ký giấy được. Đứa e đi du học để lại
Fix nhiệt tình cho ae mau lẹ",Honda,Wave,2014,10000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123706199.htm
1714,CẦN BÁN XE CHÍNH CHỦ DÀN ÁO ZIN MỚI,10.000.000 đ,8.6 tr,10.1 tr,"Phường 2, Quận 11, Tp Hồ Chí Minh","Xe AIRBLADE đời 2009 dàn áo mới còn zin theo xe, máy móc của xe còn zin chưa bung 
Xe 1 đời chủ, chính chủ
Đ/c: 251 Minh Phụng P2 Q11",Honda,Air Blade,2009,418989,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123716520.htm
1715,Ariblade xăng cơ gtdd bán có gl,5.500.000 đ,6.91 tr,8.11 tr,"Phường 5, Quận 11, Tp Hồ Chí Minh","Dư xe cần bán con ab xăng cơ gtdd 
Máy êm ru thì thầm
Nồi mạnh bốc không kêu gào
Ngoại hình tàn phai như hình
Xe mới bão dưỡng về đổ xăng là chạy kg tốn tiền sửa.",Honda,Air Blade,2007,50000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123715512.htm
1716,SH 150i Nhập Ý..Số Máy 108,189.000.000 đ,101.46 tr,119.11 tr,"Phường 10, Quận 11, Tp Hồ Chí Minh","Màu Bản Đặc Biệt First Class, Máy móc Nguyên Zin ( Có Cam Kết )
Hổ trợ trả góp, Hổ trợ đổi màu áo, Hổ trợ vận chuyển tận nhà.
Giá 189tr còn thương lượng
Call : *** gặp em Phong để mua xe",Honda,SH,2012,20000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123712446.htm
1717,Honda sh mode 2016 màu trắng,33.000.000 đ,30.1 tr,35.33 tr,"Phường 12, Quận 11, Tp Hồ Chí Minh","Dư dùng cần bán chiếc xe sh mode 2016 màu trắng BSTP chính chủ , chìa remote tìm xe , xe đi kĩ thay nhớt định kỳ , mình đã thay cặp vỏ mới , ngoài hình xe có trầy ít theo năm tháng .. 
mình không tiện nghe điện thoại
ace cần xin nhắn tin wa nhà xem trực tiếp ah ..
Công chứng ký mua bán, k uỷ quyền..
Thanks",Honda,SH Mode,2016,18000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123706490.htm
1718,Wave thái 110 đk 2000 chính chủ,26.900.000 đ,17.45 tr,20.48 tr,"Phường 1, Quận 11, Tp Hồ Chí Minh","Đổi thể loại cần nhượng lại wave thái 110 dk 2000 như ảnh xe có ít đồ :
Mâm enkei Fx Made in Janpan
Phuộc nice
Bô 1985
Heo nissin Thailan zin
Đồng hồ wave 2001
Và số ít lặt vặt 
Máy móc zin êm 
Ai cần cứ gọi trực tiếp cho mình fix mạnh cho ae nhanh lẹ ít nói
Xe mình đứng tên chỉ bán chứng mua bán thu hồi biển không uỷ quyền nhé ae",Honda,Wave,2000,99999,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123680263.htm
1719,Cần nhường lại xe supe dream 110cc,25.000.000 đ,10.08 tr,11.83 tr,"Phường 4, Quận 11, Tp Hồ Chí Minh",Xe nhà đi còn rất mới bảo dưỡng hàng tháng đi nhẹ tiết kiệm xăng.. Xe bản kỷ niệm.. Mới thay vỏ michelin xe đủ phụ kiện 2 kiến 2 chìa..sang tên 1 nốt nhạc bs saigon,Honda,Dream,2016,19000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123697400.htm
