id,title,description,Dòng xe,description_cleaned,title_cleaned,content
1483,Cần bán xe. LH ***,Xe còn mới vì minh đi công tác các tỉnh suốt ko dùng đến xe.,Air Blade,minh đi công_tác tỉnh suốt không,lh,minh đi công_tác tỉnh suốt không lh
1484,suzuki bền bỉ theo năm tháng,"CẦN BÁN :
🖤 SUZUKI GSX S1000 HQCN
ĐĂNG KÝ LẦN ĐẦU 2016
Odo chuẩn : 17k
Xe chủ yếu đi cafe ít chạy tour xa 
Chỉ 2 từ thôi ạ “ Xe Keng & Hoàn Hảo 
Up List Đồ Chơi cơ bản :
 - Xe có 3 mode chạy
Có thêm kiểm soát độ bám đường Traction Control
- 𝐏𝐨̂ pô akrapovic carbon 𝐂𝐡𝐢́𝐧𝐡 𝐇𝐚̃𝐧𝐠
- 𝐎̂́𝐏 𝐁𝐚̉𝐨 𝐯𝐞̣̂ 𝐋𝐨̂́𝐜 𝐌𝐚́𝐲 𝐆𝐁 𝐑𝐚𝐜𝐢𝐧𝐠 
- 𝐂𝐡𝐨𝐚́ đ𝐞̀𝐧 𝐁𝐢 𝐜𝐚̂̀𝐮 𝐋𝐚𝐳𝐞 
- 𝐊𝐢́𝐧𝐡 𝐂𝐡𝐚̆́𝐧 𝐆𝐢ó
- 𝐂𝐚̣̆𝐩 𝐋𝐞𝐝𝐭𝐮𝐧 𝟒𝟎 
- 𝐎̂́𝐜 𝐛𝐞𝐧 , 𝐂𝐡𝐞 𝐊𝐞́𝐭 𝐍𝐮̛𝐨̛́𝐜 , 𝐂𝐡𝐨̂́𝐧𝐠 đ𝐨̂̉ 𝐓𝐡𝐚̂𝐧
- xe vừa bão dưỡng ve sinh thay nhớt + nước mát..mua ve chi chạy thui
- Hiện tại đang đi pô zin

ĐỒ ZIN CÒN ĐỦ 2 chìa & Pô zin ..kiếng zin theo xe

Nay bán 180🤘🏻gom tiền lên cc hoặc ae có Xr hay Gs 1250 ( 2016--> 2021 ) bù trừ hợp lý
 - Xem xe tại Hòa Hưng Q10
- 9 chủ bán cong chứng ủy quyền thoải mái
- [ ] Ae thóc lúa nhanh lẹ km 1 nón fullface Poc size 3xl ( ko có cardo) mới 100% mua ve chưa sử dụng còn luôn hộp

CALL : *** Phương",GSX,yêu suzuki gsx s1000 hqcn đăng_ký đầu 2016 odo chuẩn 17k chủ_yếu đi cafe chạy tour keng hoàn_hảo up list đồ_chơi cơ_bản mode chạy kiểm_soát độ bám đường traction control 𝐏𝐨 pô akrapovic carbon 𝐂𝐡𝐢 𝐧𝐡 𝐇𝐚 𝐧𝐠 𝐁𝐚 𝐯𝐞 𝐋𝐨 𝐌𝐚 𝐆𝐁_𝐑𝐚𝐜𝐢𝐧𝐠 𝐂𝐡𝐨𝐚 đ𝐞 𝐁𝐢 𝐜𝐚 𝐋𝐚𝐳𝐞 𝐊𝐢 𝐧𝐡 𝐂𝐡𝐚 𝐆𝐢ó 𝐂𝐚 𝐋𝐞𝐝𝐭𝐮𝐧 𝟒𝟎 𝐛𝐞𝐧 𝐂𝐡𝐞 𝐊𝐞 𝐍𝐮 𝐂𝐡𝐨 𝐧𝐠 đ𝐨 𝐓𝐡𝐚 bão dưỡng ve_sinh thay nhớt mát mua ve_chi chạy_thui đi pô zin đồ zin chìa pô zin kiếng zin 180 gom tiền cc anh_em xr gs 1250 2016 2021 bù_trừ hợp_lý hòa hưng_q10 chủ cong chứng_ủy quyền thoải_mái anh_em thóc_lúa lẹ km nón fullface poc size 3xl không cardo 100 mua ve hộp call phương,suzuki bền_bỉ,yêu suzuki gsx s1000 hqcn đăng_ký đầu 2016 odo chuẩn 17k chủ_yếu đi cafe chạy tour keng hoàn_hảo up list đồ_chơi cơ_bản mode chạy kiểm_soát độ bám đường traction control 𝐏𝐨 pô akrapovic carbon 𝐂𝐡𝐢 𝐧𝐡 𝐇𝐚 𝐧𝐠 𝐁𝐚 𝐯𝐞 𝐋𝐨 𝐌𝐚 𝐆𝐁_𝐑𝐚𝐜𝐢𝐧𝐠 𝐂𝐡𝐨𝐚 đ𝐞 𝐁𝐢 𝐜𝐚 𝐋𝐚𝐳𝐞 𝐊𝐢 𝐧𝐡 𝐂𝐡𝐚 𝐆𝐢ó 𝐂𝐚 𝐋𝐞𝐝𝐭𝐮𝐧 𝟒𝟎 𝐛𝐞𝐧 𝐂𝐡𝐞 𝐊𝐞 𝐍𝐮 𝐂𝐡𝐨 𝐧𝐠 đ𝐨 𝐓𝐡𝐚 bão dưỡng ve_sinh thay nhớt mát mua ve_chi chạy_thui đi pô zin đồ zin chìa pô zin kiếng zin 180 gom tiền cc anh_em xr gs 1250 2016 2021 bù_trừ hợp_lý hòa hưng_q10 chủ cong chứng_ủy quyền thoải_mái anh_em thóc_lúa lẹ km nón fullface poc size 3xl không cardo 100 mua ve hộp call phương suzuki bền_bỉ
1485,BÁN XE - BS BR-VT,"Xe 1 chủ, nguyên zin, ít đi nên xe rất ít trầy, và đi cẩn thận.
Nay không còn nhu cầu nên bán lại.
Có nhu cầu thì liên hệ để trao đổi thêm!",PCX,chủ nguyên zin đi trầy đi cẩn_thận không nhu_cầu nhu_cầu liên_hệ trao_đổi,bs br vt,chủ nguyên zin đi trầy đi cẩn_thận không nhu_cầu nhu_cầu liên_hệ trao_đổi bs br vt
1486,bán xe SH,Xe SH do dư nên bán ! Xe đi rất tốt. Xe xuất xứ việt Nam mưa từ hãng. Liên hệ trước tiếp để xem xe,SH,sh dư đi tốt xuất_xứ việt_nam mưa hãng liên_hệ tiếp,sh,sh dư đi tốt xuất_xứ việt_nam mưa hãng liên_hệ tiếp sh
1487,Xe tay ga Aruzo 2017 xanh duong,"Mình cần bán xe Aruzo đời 2017, giá 15 triệu. Xe đang sử dụng ổn định, do đi định cư nước ngoài nên bán.

Bảo hành, bảo dưỡng đầy đủ tại hãng

Máy êm, tiết kiệm xăng

Hình thức còn đẹp, không va quẹt

Giấy tờ đầy đủ, sang tên nhanh gọn

Xem xe trực tiếp tại Quận 10, TP.HCM. Ai có nhu cầu vui long liên hệ mình qua Zalo nhe do minh dang o nuoc ngoai",Acruzo,aruzo đời 2017 giá 15 triệu ổn_định đi định_cư nước_ngoài bảo_hành bảo_dưỡng đầy_đủ hãng máy êm tiết_kiệm xăng hình_thức đẹp không va quẹt giấy_tờ đầy_đủ sang_tên gọn 10 tp hcm nhu_cầu vui long liên_hệ zalo nhe minh dang nuoc ngoai,ga aruzo 2017 xanh duong,aruzo đời 2017 giá 15 triệu ổn_định đi định_cư nước_ngoài bảo_hành bảo_dưỡng đầy_đủ hãng máy êm tiết_kiệm xăng hình_thức đẹp không va quẹt giấy_tờ đầy_đủ sang_tên gọn 10 tp hcm nhu_cầu vui long liên_hệ zalo nhe minh dang nuoc ngoai ga aruzo 2017 xanh duong
1488,"Sh ý Sm109 Chính chủ đang chạy đứng bán,SX 12/2012","Nhà nhiều xe,ít đi,nên chia sẻ đam mê
Chính chủ đứng bán
Sh ý 150 số máy 109 đăng ký cuối tháng 12/2012 đầu máy zin 100% xe chính chủ,
chưa rớt quạt
 ic sạc còn zin 
hết máy chắc kg dọng hay hú hí gi hết vỏ dunlop zin còn mới tinh
Yên zin còn rất đep sơn dán keo nguyên
Ae mua về chỉ đổ xăng chạy
Giá mong muốn 200trieu
*** Tài 18t
xem xe tại nhà(quận 10) để thương lượng thêm",SH,đi đam_mê chủ đứng_bán sh 150 máy 109 đăng_ký 12 2012 đầu_máy zin 100 chủ rớt_quạt ic sạc zin máy không dọng hú_hí gi vỏ dunlop zin mới_tinh yên zin đep sơn dán keo_nguyên anh_em mua đổ xăng_chạy giá mong_muốn 200trieu tài 18t 10 thương_lượng,sh sm109 chủ chạy đứng sx 12 2012,đi đam_mê chủ đứng_bán sh 150 máy 109 đăng_ký 12 2012 đầu_máy zin 100 chủ rớt_quạt ic sạc zin máy không dọng hú_hí gi vỏ dunlop zin mới_tinh yên zin đep sơn dán keo_nguyên anh_em mua đổ xăng_chạy giá mong_muốn 200trieu tài 18t 10 thương_lượng sh sm109 chủ chạy đứng sx 12 2012
1489,Cần bán Ex150 2018.,"Cần bán Ex150 2018. Dàn áo xe mới 90%. 
Xe đã rớt đầu , hiện tại đang xì ron đầu 
Xe máy móc nguyên zin không độ chế , chưa chẻ máy 
Đã lên nồi R15V3 chống trượt 
Phuộc RCB 
Xe đã uỷ quyền lần 2. 
Sang tên mua bán
Xem xe gdtt mua tại Q10",Exciter,ex150 2018 dàn áo 90 rớt đầu xì ron đầu xe_máy_móc nguyên zin không độ chế chẻ máy nồi r15v3 chống trượt phuộc rcb uỷ_quyền sang_tên mua_bán gdtt mua q10,ex150 2018,ex150 2018 dàn áo 90 rớt đầu xì ron đầu xe_máy_móc nguyên zin không độ chế chẻ máy nồi r15v3 chống trượt phuộc rcb uỷ_quyền sang_tên mua_bán gdtt mua q10 ex150 2018
1490,Bán xe chính chủ tại tphcm,"Xe rin chính chủ tại tphcm ko qua trung gian, không sử dụng cần bán LH tel/zalo : *** - ***",Dream,rin chủ thành_phố hồ chí minh không trung_gian không lh tel zalo,chủ thành_phố hồ chí minh,rin chủ thành_phố hồ chí minh không trung_gian không lh tel zalo chủ thành_phố hồ chí minh
1491,Bán xe Kymco 50cc,"Xe còn mới keng
Xe 50cc phù hợp học sinh 
Liên hệ ngay Hà xem xe ở quận 10",K-Pipe,keng 50cc học_sinh liên_hệ hà 10,kymco 50cc,keng 50cc học_sinh liên_hệ hà 10 kymco 50cc
1492,Bán biển đấu giá 388.78,"Anh em nào mua về gắn Sh, Cub, vespa là bao đẹp phong thuỷ luôn
Thích hợp anh chị em làm bất động sản 💵💵💵
Biển bao định danh cho anh chị em đứng tên 
Giá 18.500.000 đ",SH,anh_em mua gắn sh cub vespa bao đẹp phong_thuỷ thích_hợp anh_chị_em bất_động_sản biển bao định_danh anh_chị_em đứng_tên giá 18.500.000,biển đấu_giá 388.78,anh_em mua gắn sh cub vespa bao đẹp phong_thuỷ thích_hợp anh_chị_em bất_động_sản biển bao định_danh anh_chị_em đứng_tên giá 18.500.000 biển đấu_giá 388.78
1493,SYM Power 80 xe trùm mền rất ít chạy,"Xe 100%,rất đẹp,rất bền thập niên 80
Cái chất xe khỏi bàn zin từ A đến Z,cái máy nhẹ tưng 
Ae mê xe cổ zin độc lạ xin liên hệ
Chính chủ chứng giấy
Không nhận tin nhắn",Dòng khác,100 đẹp bền thập_niên 80 chất bàn zin máy nhẹ tưng anh_em mê cổ zin độc lạ liên_hệ chủ chứng_giấy không nhắn,sym power 80 trùm mền chạy,100 đẹp bền thập_niên 80 chất bàn zin máy nhẹ tưng anh_em mê cổ zin độc lạ liên_hệ chủ chứng_giấy không nhắn sym power 80 trùm mền chạy
1494,"Cub Nhật ông già độ kiểng từ a đến z,chính chủ","Cái máy ba tây,kiểng nguyên con toàn hàng hiệu
Xe đẹp từng cm toàn đồ zin khó tìm
Chính chủ TP chứng bán",Cub,máy tây kiểng nguyên toàn hàng_hiệu đẹp cm toàn đồ zin chủ tp chứng_bán,cub nhật già độ kiểng chủ,máy tây kiểng nguyên toàn hàng_hiệu đẹp cm toàn đồ zin chủ tp chứng_bán cub nhật già độ kiểng chủ
1495,Dylan fullnew,"Chính chủ cavet 
Options : 
Ohlins 743 
Nồi BBS performance ( nồi zin còn )",Dylan,chủ cavet options ohlins 743 nồi bbs performance nồi zin,dylan fullnew,chủ cavet options ohlins 743 nồi bbs performance nồi zin dylan fullnew
1496,ex 135 dọn full mới,"Xe mới dọn full mới 
Lên ic 
Bình xăng 
Phuộc",Exciter,dọn full ic bình_xăng phuộc,ex 135 dọn full,dọn full ic bình_xăng phuộc ex 135 dọn full
1497,Bán xe Sirius 2009,"Bán Sirius 2009 zin
Gtdd k9c Quận 10 Mua kb zaIo",Sirius,sirius 2009 zin gtdd k9c 10 mua kết_bạn zaio,sirius 2009,sirius 2009 zin gtdd k9c 10 mua kết_bạn zaio sirius 2009
1498,Xe Winner X chính chủ chạy cẩn thận,"Tôi cần bán xe Winner X 2020 mới chạy 28000km còn mới mà chưa sửa chữa gì
Đã thay xích do dòng tay côn cần thay xích chạy cho ngon 
Chưa sửa chữa hay đụng chạm máy móc",Winner X,winner 2020 chạy 28000km sửa_chữa thay xích dòng côn thay xích chạy ngon sửa_chữa đụng_chạm máy_móc,winner chủ chạy cẩn_thận,winner 2020 chạy 28000km sửa_chữa thay xích dòng côn thay xích chạy ngon sửa_chữa đụng_chạm máy_móc winner chủ chạy cẩn_thận
1499,Bán xe về quê,"Xe Lead biển số tỉnh. Cần bán gấp về quê. Xe còn im ru. 
Không chính chủ.",Lead,lead biển tỉnh gấp quê im ru không chủ,quê,lead biển tỉnh gấp quê im ru không chủ quê
1500,Bán xe Wolf 125 Máy Zin Độ Dáng Nhẹ,"- Xe zin độ dáng, giấy tờ đi đường hợp lệ, không sang tên.
- Máy móc sạch sẽ không rỉ nhớt.
- Đã thay bình xăng mới, lên bô cổ chai inox, cặp túi da bên hông.
- Lốp gai mũi tên, sên DID vàng 10ly, đồng hồ Yamaha YB, xi nhan Husky.",Wolf,zin độ dáng giấy_tờ đi đường hợp_lệ không sang_tên máy_móc sạch_sẽ không rỉ nhớt thay bình xăng bô cổ chai inox cặp túi da hông lốp gai mũi_tên sên did vàng 10ly đồng_hồ yamaha yb xi_nhan husky,wolf 125 máy zin độ dáng nhẹ,zin độ dáng giấy_tờ đi đường hợp_lệ không sang_tên máy_móc sạch_sẽ không rỉ nhớt thay bình xăng bô cổ chai inox cặp túi da hông lốp gai mũi_tên sên did vàng 10ly đồng_hồ yamaha yb xi_nhan husky wolf 125 máy zin độ dáng nhẹ
1501,zx úp thái zin kiểng,Xe tâm huyết chia lại cho ae nào chung đam mê,Wave,tâm_huyết chia anh_em đam_mê,zx úp thái zin kiểng,tâm_huyết chia anh_em đam_mê zx úp thái zin kiểng
1502,"Cần bán Wave Rs bản 2010 , xe 1 đời chủ nguyên Zin","Cần bán Wave Rs 110 đời 2010 xe 1 đời chủ nguyên Zin . Đang hoạt động bình thường 

Mới lên bộ bánh mâm và vỏ không ruột. 

Biển số Sài Gòn Quận 10 .

Giấy tờ cavet chính chủ , kèm bộ hồ sơ tự quản công an đưa 

Anh em có nhu cầu liên hệ call , không nhận tin nhắn",Wave,wave rs 110 đời 2010 đời chủ nguyên zin hoạt_động bình_thường bánh mâm vỏ không ruột biển 10 giấy_tờ cavet chủ kèm hồ_sơ tự_quản công_an anh_em nhu_cầu liên_hệ call không nhắn,wave rs 2010 đời chủ nguyên zin,wave rs 110 đời 2010 đời chủ nguyên zin hoạt_động bình_thường bánh mâm vỏ không ruột biển 10 giấy_tờ cavet chủ kèm hồ_sơ tự_quản công_an anh_em nhu_cầu liên_hệ call không nhắn wave rs 2010 đời chủ nguyên zin
1503,"Cần bán Vespa LX150, 1 Chủ Từ Đầu","Cần bán xe Vespa LX150, 1 đời chủ sử dụng từ đầu, odo 38K, xe nguyên zin, có lịch sử hãng.
Xe mới thay lốp xe, bình",Vespa,vespa lx150 đời chủ đầu odo 38k nguyên zin lịch_sử hãng thay lốp bình,vespa lx150 chủ đầu,vespa lx150 đời chủ đầu odo 38k nguyên zin lịch_sử hãng thay lốp bình vespa lx150 chủ đầu
1504,cần bán AIRBLACK 99%,"Cần bán xe AIRBACK 4 Van mẫu 
 2025 , đỏ đô , mới 99% giá 48tr , xe mua Trùm mền kg chạy đi cfe gần nhà , 3000 km , xe trùm mền

Mền suốt , bán ai có thiện chí. Mua về tiết kiệm đuọc vài triệu , xe như xe thùng 100% , mới Tinh , dán keo xe nguyên con , a e mua về như xe thùng trong hãng , an tâm
, còn bảo hàng chính hãng , 
Mình không tiếp Cò lái vào trả giá tào lao !",Air Blade,airback van_mẫu 2025 đỏ đô 99 giá 48tr mua trùm mền không chạy đi cfe 3000 km trùm mền mền suốt thiện_chí mua tiết_kiệm đuọc triệu thùng 100 mới_tinh dán keo nguyên anh_em mua thùng hãng an_tâm bảo hàng hãng không tiếp cò lái trả_giá tào_lao,airblack 99,airback van_mẫu 2025 đỏ đô 99 giá 48tr mua trùm mền không chạy đi cfe 3000 km trùm mền mền suốt thiện_chí mua tiết_kiệm đuọc triệu thùng 100 mới_tinh dán keo nguyên anh_em mua thùng hãng an_tâm bảo hàng hãng không tiếp cò lái trả_giá tào_lao airblack 99
1505,Honda Winner V2,"Kẹt tiền càn bán 
Winner v2 
Xe ko chính chủ 
Bs 61 kèm cccd chủ 

Có Fix 
Xe ở hcm quận 3",Winner X,kẹt tiền càn_bán winner v2 không chủ bs 61 kèm cccd chủ fix hcm,honda winner v2,kẹt tiền càn_bán winner v2 không chủ bs 61 kèm cccd chủ fix hcm honda winner v2
1506,Kẹt tiền cần bán xe,-kẹt tiền đóng tiền phòng cần bán xe ae nhiệt tình có fix nhe,Nouvo,kẹt tiền đóng tiền phòng anh_em nhiệt_tình fix_nhe,kẹt tiền,kẹt tiền đóng tiền phòng anh_em nhiệt_tình fix_nhe kẹt tiền
1507,"Wave Alpha đời 2003,xanh nhớt, máy zin","Wave đời 2003, xanh nhớt. Xe còn đang sử dụng, chạy bao êm, lướt, không hao xăng. Máy móc zin, dàn áo hơi cũ, bể nhiều 2 bên bẩn trước và nứt ở 2 bên phần che chân. Bớt chút thiện chí. Biển số 4 số sài gòn, chính chủ 1 đời. 
Ký Hợp đồng Mua bán sang tên tại vp công chứng. Cảm ơn",Wave,wave đời 2003 xanh nhớt chạy bao êm lướt không hao xăng máy_móc zin dàn áo hơi cũ bể bẩn nứt che chân bớt chút thiện_chí biển chủ đời ký hợp_đồng mua_bán sang_tên vp công_chứng,wave alpha đời 2003 xanh nhớt máy zin,wave đời 2003 xanh nhớt chạy bao êm lướt không hao xăng máy_móc zin dàn áo hơi cũ bể bẩn nứt che chân bớt chút thiện_chí biển chủ đời ký hợp_đồng mua_bán sang_tên vp công_chứng wave alpha đời 2003 xanh nhớt máy zin
1508,BÁN GẤP XE VESPA NOTTE NGUYÊN ZIN CÁ NHÂN,"Cần tiền bán gâp xe vespa notte 2019 nguyên zin đang sử dụng 
Bstp 042.63 đẹp
Sài gòn quận 10 xem xe nhanh gọn lẹ",Vespa,tiền gâp vespa notte 2019 nguyên zin bstp 042.63 đẹp 10 gọn lẹ,gấp vespa notte nguyên zin,tiền gâp vespa notte 2019 nguyên zin bstp 042.63 đẹp 10 gọn lẹ gấp vespa notte nguyên zin
1509,Air Blade 2009,"Đời 2009 
Qua 1 chủ 
Giấy tờ đầy đủ rõ ràng
Xe bao kiểm tra máy móc
Độ đầu đèn ab Thái",Air Blade,đời 2009 chủ giấy_tờ đầy_đủ rõ_ràng bao kiểm_tra máy_móc độ đầu đèn ab thái,air blade 2009,đời 2009 chủ giấy_tờ đầy_đủ rõ_ràng bao kiểm_tra máy_móc độ đầu đèn ab thái air blade 2009
1510,Medleys aps giấy tờ báo sang tên,"fix nhẹ cho ae nhiệt tình 
- Xe tại Q.10
Sdt : ***",Medley,fix nhẹ anh_em nhiệt_tình 10 sdt,medleys aps giấy_tờ báo sang_tên,fix nhẹ anh_em nhiệt_tình 10 sdt medleys aps giấy_tờ báo sang_tên
1511,xe Mio Umtimo,"Xe thái lan,kg chính chủ,xe chưa rớt đầu,có giấy cửa hàng và bao tranh chấp",Mio,thái lan không chủ rớt đầu giấy cửa_hàng bao tranh_chấp,mio umtimo,thái lan không chủ rớt đầu giấy cửa_hàng bao tranh_chấp mio umtimo
1512,muon trao đổi winner v1 bù trừ hop le,Lien he qua so dt.***Xe con moi đang chay ket tien nen muon trao đoi bù trừ,Sonic,lien he dt xe_con moi chay ket tien nen muon trao đoi bù_trừ,muon trao_đổi winner v1 bù_trừ hop le,lien he dt xe_con moi chay ket tien nen muon trao đoi bù_trừ muon trao_đổi winner v1 bù_trừ hop le
1513,Exciter 135 dọn kiểng full mới bs tỉnh chính chủ,"Exciter 135cc dọn kiểng full mới
-Đèn 2 tầng Zhipat khói chính hãng
-Cặp vỏ Michelin City Grip Pro mới 80-90/17 vs 100-80/17
-Cặp tay thắng mới
-Cùm NVX mới
-Dàn áo zin mới xé bịch,mâm cảng phuộc lốc gắp sơn đen bóng.
-Tem zin mới
-Acquy mới,mặt đồng hồ mới,bọc yên mới,ốp pô mới,bao tay X1R mới.
-Phuộc RCB EB2
-Đã bảo dưỡng full về là chạy
Biển Quảng Trị,9 nút
Xe chính chủ ký bán hoặc uỷ quyền,còn đủ 2 chìa khoá.",Exciter,exciter 135cc dọn kiểng full đèn tầng zhipat khói hãng cặp vỏ michelin city grip pro 80 90 17 100 80 17 cặp thắng cùm nvx dàn áo zin xé bịch mâm cảng phuộc lốc gắp sơn đen bóng tem zin acquy mặt đồng_hồ bọc yên ốp pô bao_tay x1r phuộc rcb eb2 bảo_dưỡng full chạy biển quảng_trị nút chủ ký uỷ_quyền chìa_khoá,exciter 135 dọn kiểng full bs tỉnh chủ,exciter 135cc dọn kiểng full đèn tầng zhipat khói hãng cặp vỏ michelin city grip pro 80 90 17 100 80 17 cặp thắng cùm nvx dàn áo zin xé bịch mâm cảng phuộc lốc gắp sơn đen bóng tem zin acquy mặt đồng_hồ bọc yên ốp pô bao_tay x1r phuộc rcb eb2 bảo_dưỡng full chạy biển quảng_trị nút chủ ký uỷ_quyền chìa_khoá exciter 135 dọn kiểng full bs tỉnh chủ
1514,bán xe Mio Umtimo,"Xe xin chưa rớt đầu,xe nhập nguyên con thái lan,xe không chính chủ,giấy tờ đầy đủ và giấy cửa hàng,bao tranh chấp",Mio,rớt đầu nhập nguyên thái lan không chủ giấy_tờ đầy_đủ giấy cửa_hàng bao tranh_chấp,mio umtimo,rớt đầu nhập nguyên thái lan không chủ giấy_tờ đầy_đủ giấy cửa_hàng bao tranh_chấp mio umtimo
1515,Cần bán wave s100,"Xe hoạt động bình thường, mua về là chạy.loa loa loa.",Wave,hoạt_động bình_thường mua chạy loa loa loa,wave s100,hoạt_động bình_thường mua chạy loa loa loa wave s100
1516,Xe Vespa Nữ Chạy Màu Trắng Ngọc Trinh,"Xe đã qua sử dụng
Odo <100000
Xem xe tại quận 10
Số Điện Thoại: *** (Thảo)",Vespa,odo 100000 10 điện_thoại thảo,vespa nữ chạy màu trắng ngọc_trinh,odo 100000 10 điện_thoại thảo vespa nữ chạy màu trắng ngọc_trinh
1517,Xe moto CBR 150R - 2022 đen xám,"👉 Em muốn bán chiếc xe này. Ai muốn mua thì liên hệ qua zalo đừng có gọi điện qua số điện thoại nhé.

Thông tin xe:
_ Nhãn hiệu: Honda
_ Số loại: CBR 
_ Màu sơn: Đen xám
_ Dung tích: 150R
_ Ngày ra đời: 25/11/2022
_ Số km đã sử dụng: 1433 km
_ Chính sách bảo hành: Còn bảo hành 1 đợt 25/11/2025

Nếu đã mua xe này thì em sẽ đưa cái pô xe và đèn xi nhan zin của xe CBR.",CBR,mua liên_hệ zalo đừng điện điện_thoại thông_tin nhãn_hiệu honda cbr màu sơn đen_xám dung_tích 150r ra_đời 25 11 2022 km 1433 km chính_sách bảo_hành bảo_hành đợt 25 11 2025 mua pô đèn xi_nhan zin cbr,moto cbr 150r 2022 đen xám,mua liên_hệ zalo đừng điện điện_thoại thông_tin nhãn_hiệu honda cbr màu sơn đen_xám dung_tích 150r ra_đời 25 11 2022 km 1433 km chính_sách bảo_hành bảo_hành đợt 25 11 2025 mua pô đèn xi_nhan zin cbr moto cbr 150r 2022 đen xám
1518,❤️SH350i Full Đồ Chơi Biển SG Người Dùng❤️,"❤️SH350i 11/2021 Máy Thái Full Đồ Chơi Biển SG 1 Chủ Đập Thùng Lúc Mua Ra Giấy 195TR Tiền Độ Khoảng 70Tr, Xe bao máy móc nguyên zin 100% , Bán Cho Anh Em Chơi Xe Đam Mê Nên Anh Em Cò Lái Đừng Ép Giá ( Thanks )
🚘Odo 53.361km ( có phát sinh do đi lại hàng ngày )
List Đồ Trên Xe Tất Cả Đều Mua New Full Box :
🔥Mâm cnc Kingspeed + Vỏ pirelli
🔥Đĩa Kingspeed trước + Đĩa Galfer sau
🔥Heo Brembo 2 pis trước sau + dây dầu hel + pát cnc trước sau
🔥Full ngắt dầu Brembo thái + dây dầu hel thông nhớt
🔥Tay thắng crg carbon fiber đúc 
🔥Gù tay lái carbon fiber
🔥Nắp che kính carbon fiber
🔥Nắp bình xăng carbon 
🔥Kính chắn gió zhipat
🔥Ốp lọc gió zhipat
🔥Cảng nhôm zhipat
🔥Yên bọc đệm kimdan
🔥Lọc gió DNA
🔥Lọc nhớt K&N
🔥Bao tay lái TBT
🔥Pô Akrapovic + Full cổ titan
🔥Phuộc DNA + HPA
🔥Led audi demi
🔥Full ốc titan ( 200c )
🔥Xe làm full nồi pô gió 
🏠Mua bán tại nhà Lý Thái Tổ Q10",SH,yêu sh350i 11 2021 máy thái full đồ_chơi biển chủ đập thùng mua giấy 195tr tiền độ 70tr bao máy_móc nguyên zin 100 anh_em đam_mê anh_em cò lái đừng ép_giá thanks odo 53.361 km phát_sinh đi_lại hàng list đồ mua new full box mâm cnc kingspeed vỏ pirelli đĩa kingspeed đĩa galfer heo brembo pis dây dầu hel pát cnc full ngắt dầu brembo thái dây dầu hel thông_nhớt thắng crg carbon fiber đúc gù tay_lái carbon fiber nắp che kính carbon fiber nắp bình xăng_carbon kính chắn gió zhipat ốp lọc gió zhipat cảng nhôm zhipat yên bọc đệm kimdan lọc gió dna lọc nhớt không bao_tay_lái tbt pô akrapovic full cổ titan phuộc dna hpa led audi demi full ốc titan 200c full nồi pô_gió mua_bán lý thái tổ_q10,yêu sh350i full đồ_chơi biển yêu,yêu sh350i 11 2021 máy thái full đồ_chơi biển chủ đập thùng mua giấy 195tr tiền độ 70tr bao máy_móc nguyên zin 100 anh_em đam_mê anh_em cò lái đừng ép_giá thanks odo 53.361 km phát_sinh đi_lại hàng list đồ mua new full box mâm cnc kingspeed vỏ pirelli đĩa kingspeed đĩa galfer heo brembo pis dây dầu hel pát cnc full ngắt dầu brembo thái dây dầu hel thông_nhớt thắng crg carbon fiber đúc gù tay_lái carbon fiber nắp che kính carbon fiber nắp bình xăng_carbon kính chắn gió zhipat ốp lọc gió zhipat cảng nhôm zhipat yên bọc đệm kimdan lọc gió dna lọc nhớt không bao_tay_lái tbt pô akrapovic full cổ titan phuộc dna hpa led audi demi full ốc titan 200c full nồi pô_gió mua_bán lý thái tổ_q10 yêu sh350i full đồ_chơi biển yêu
